id_ambulance,code_ambulance,plaque_immatriculation,ville,latitude,longitude,statut,vitesse_kmh,zone,carburant_pourcent,actif,timestamp
1,AMB-001,61995-A-4,Agadir,30.410925238832892,-9.612148681172721,en_route,59.96072430509754,sud,86,True,2025-11-17T19:53:17Z
2,AMB-002,44095-A-8,Laayoune,27.07910198034925,-13.182387858997469,disponible,28.26987695921499,sud,68,True,2025-11-17T19:53:17Z
3,AMB-003,91950-A-5,Rabat,34.0167905069614,-6.812945358393404,en_route,76.49491372717983,centre,98,True,2025-11-17T19:53:17Z
5,AMB-005,49576-A-8,Rabat,34.051521092097055,-6.852084270927761,disponible,2.190609845736995,centre,90,True,2025-11-17T19:53:17Z
6,AMB-006,92592-A-7,Rabat,33.984636025205354,-6.877744953276287,en_route,47.09134352077723,centre,76,True,2025-11-17T19:53:17Z
7,AMB-007,71569-A-8,Oujda,34.676873622961885,-1.9391639432854821,disponible,3.3328585668019626,est,98,True,2025-11-17T19:53:17Z
8,AMB-008,23804-A-8,Agadir,30.378037455154693,-9.640170204357787,en_route,43.51127867445801,sud,81,True,2025-11-17T19:53:17Z
9,AMB-009,15605-A-6,Agadir,30.47600044337095,-9.642428028304733,en_intervention,7.457885207500572,sud,84,True,2025-11-17T19:53:17Z
10,AMB-010,45459-A-3,Marrakech,31.595163817711455,-7.994631308832348,en_intervention,4.200498393435012,sud,76,True,2025-11-17T19:53:17Z
11,AMB-011,86751-A-9,Laayoune,27.14510646175869,-13.165704681374937,disponible,18.405809405812633,sud,97,True,2025-11-17T19:53:17Z
12,AMB-012,10353-A-7,Marrakech,31.644462968178598,-8.025824671779267,disponible,25.430933601767524,sud,79,True,2025-11-17T19:53:17Z
13,AMB-013,26955-A-2,Tanger,35.759632617627446,-5.807913446246414,en_intervention,5.672979900627277,nord,72,True,2025-11-17T19:53:17Z
14,AMB-014,45847-A-7,Tanger,35.73801008291586,-5.798137967972199,disponible,12.511548383583557,nord,73,True,2025-11-17T19:53:17Z
15,AMB-015,11836-A-9,Laayoune,27.122286730373713,-13.131234817299077,en_intervention,2.8004377069490483,sud,99,True,2025-11-17T19:53:17Z
16,AMB-016,52265-A-1,Agadir,30.44018268672428,-9.562091164570798,disponible,26.731071469493703,sud,59,True,2025-11-17T19:53:17Z
17,AMB-017,40273-A-2,Marrakech,31.591769250891172,-7.997908552688057,en_intervention,9.604819051390837,sud,95,True,2025-11-17T19:53:17Z
18,AMB-018,75461-A-6,Marrakech,31.662821240883606,-8.023896096828505,disponible,8.365206439715347,sud,92,True,2025-11-17T19:53:17Z
19,AMB-019,98992-A-3,Marrakech,31.65257821305313,-8.020654775670243,disponible,11.03346326906679,sud,95,True,2025-11-17T19:53:17Z
20,AMB-020,44462-A-5,Fès,34.06053427744803,-4.979250077953766,en_route,61.95056174861175,nord,77,True,2025-11-17T19:53:17Z
21,AMB-021,78091-A-1,Rabat,33.97125912227165,-6.843099523969845,en_route,75.92217511553363,centre,98,True,2025-11-17T19:53:17Z
22,AMB-022,71901-A-4,Tanger,35.7979221793372,-5.852600185811589,en_route,63.1283149683067,nord,91,True,2025-11-17T19:53:17Z
23,AMB-023,93429-A-3,Casablanca,33.54313444402122,-7.580022706365475,hors_service,0.0,centre,66,True,2025-11-17T19:53:17Z
24,AMB-024,94907-A-2,Laayoune,27.173708307410628,-13.11466820635698,en_route,63.596299225940456,sud,61,True,2025-11-17T19:53:17Z
25,AMB-025,66197-A-2,Casablanca,33.53264049876253,-7.621648514362346,disponible,6.097804356457008,centre,63,True,2025-11-17T19:53:17Z
26,AMB-026,77893-A-6,Rabat,33.99786609790572,-6.841912011012057,disponible,25.98171995902841,centre,82,True,2025-11-17T19:53:17Z
27,AMB-027,72784-A-5,Casablanca,33.53819536405591,-7.562900209947485,disponible,10.598795756254066,centre,80,True,2025-11-17T19:53:17Z
28,AMB-028,51832-A-9,Rabat,34.03885131850804,-6.832734511132804,disponible,24.166493130589732,centre,83,True,2025-11-17T19:53:17Z
29,AMB-029,44134-A-6,Casablanca,33.54009332315131,-7.598943482227694,disponible,28.609425828279186,centre,79,True,2025-11-17T19:53:17Z
30,AMB-030,73393-A-2,Rabat,34.06148304988977,-6.827104854170976,disponible,20.98452679412472,centre,63,True,2025-11-17T19:53:17Z
31,AMB-031,57826-A-5,Rabat,34.05805233634692,-6.813878786513548,hors_service,0.0,centre,74,True,2025-11-17T19:53:17Z
32,AMB-032,63702-A-1,Agadir,30.460911807632005,-9.555640799436675,disponible,15.491116743373924,sud,68,True,2025-11-17T19:53:17Z
33,AMB-033,38335-A-1,Casablanca,33.59385154539635,-7.568185479390833,disponible,27.028033056137943,centre,63,True,2025-11-17T19:53:17Z
34,AMB-034,60145-A-1,Tanger,35.75064716612574,-5.8119042056457975,en_route,30.020911316988308,nord,63,True,2025-11-17T19:53:17Z
35,AMB-035,88810-A-7,Fès,34.011583822656966,-4.964108665447686,en_intervention,18.416279932133154,nord,95,True,2025-11-17T19:53:17Z
36,AMB-036,16956-A-4,Fès,34.07945862403187,-4.989675133690708,disponible,22.46525021728506,nord,71,True,2025-11-17T19:53:17Z
37,AMB-037,33851-A-9,Fès,34.073075027675905,-5.039722714878664,disponible,24.823915062460706,nord,64,True,2025-11-17T19:53:17Z
38,AMB-038,33352-A-6,Laayoune,27.16543857036259,-13.146025113704333,en_route,54.649794711279085,sud,77,True,2025-11-17T19:53:17Z
39,AMB-039,42394-A-9,Marrakech,31.668926760665435,-7.9941066101972185,disponible,9.604199307354952,sud,70,True,2025-11-17T19:53:17Z
40,AMB-040,74825-A-4,Rabat,34.02877188117099,-6.8339745301771995,disponible,28.977145601328328,centre,96,True,2025-11-17T19:53:17Z
41,AMB-041,29894-A-7,Fès,33.99278805741242,-4.989367175541884,hors_service,0.0,nord,73,True,2025-11-17T19:53:17Z
42,AMB-042,82817-A-6,Tanger,35.777138063505205,-5.848557176263649,disponible,11.152570557664578,nord,72,True,2025-11-17T19:53:17Z
43,AMB-043,24890-A-6,Agadir,30.401310961859462,-9.629424024450927,disponible,10.450218651484949,sud,70,True,2025-11-17T19:53:17Z
44,AMB-044,57427-A-2,Rabat,34.05158256933455,-6.866384754123704,en_intervention,9.066127627912612,centre,83,True,2025-11-17T19:53:17Z
45,AMB-045,40857-A-4,Marrakech,31.59239191853366,-7.971969281194255,en_intervention,16.545905258241742,sud,64,True,2025-11-17T19:53:17Z
46,AMB-046,27557-A-6,Oujda,34.67379668886667,-1.9451539807220692,en_intervention,2.727780199066019,est,85,True,2025-11-17T19:53:17Z
47,AMB-047,49029-A-8,Fès,34.046345244479,-4.991355217990426,disponible,9.656103545692469,nord,64,True,2025-11-17T19:53:17Z
48,AMB-048,14788-A-2,Fès,34.055050583850495,-5.014738356933683,disponible,21.903829984711408,nord,60,True,2025-11-17T19:53:17Z
49,AMB-049,36967-A-5,Rabat,33.98333439764447,-6.812098875084342,disponible,12.128780372251939,centre,77,True,2025-11-17T19:53:17Z
50,AMB-050,91574-A-7,Agadir,30.477688442265332,-9.569033741435868,disponible,25.70499564351745,sud,93,True,2025-11-17T19:53:17Z
1,AMB-001,61995-A-4,Agadir,30.445233569399942,-9.575532834146781,disponible,7.556559887576438,sud,86,True,2025-11-17T19:53:19Z
2,AMB-002,44095-A-8,Laayoune,27.148483109852478,-13.212293907554491,disponible,12.813095215971398,sud,68,True,2025-11-17T19:53:19Z
3,AMB-003,91950-A-5,Rabat,34.068546237781455,-6.86968974993738,en_intervention,5.149256517949623,centre,98,True,2025-11-17T19:53:19Z
4,AMB-004,90060-A-7,Oujda,34.73081596288071,-1.9300590000339561,en_intervention,5.624633850210863,est,83,True,2025-11-17T19:53:19Z
5,AMB-005,49576-A-8,Rabat,34.037219546528455,-6.850485287126411,disponible,12.369534432028422,centre,90,True,2025-11-17T19:53:19Z
6,AMB-006,92592-A-7,Rabat,33.97524574439236,-6.81753174650072,disponible,22.158143913134587,centre,76,True,2025-11-17T19:53:19Z
12,AMB-012,10353-A-7,Marrakech,31.63722766044274,-8.00756242077814,en_route,77.23164451556127,sud,79,True,2025-11-17T19:53:19Z
